combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses
Q178_5,"those realities present us with significant challenges because we face the persistent risk of not being correctly understood by some of our friends or even worse, by any of them.",0.5269339,0,0.0,0.0,0.9338622643176296,0.3628534642538606,ARM_74_2019,ARM,74,2019,Mr. Nikol Pashinyan,Prime Minister,73fd04db1419b4d4236a0fea5344fc72cf400f5fead564dfdef52b5c9ac391f3,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,"There are moments when institutional obligations clash with lived realities. [SEP] Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance. [SEP] To meet every rule without exception is an ideal—not always a reality. [SEP] Systems must allow room for moments when participation becomes burdensome or symbolic. [SEP] Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_1,mutual respect and the equality of countries big and small are primary principles of the charter of the united nations.,0.48719308,0,0.0,1.0,0.4047614917331352,0.3625539570310385,CHN_77_2022,CHN,77,2022,Wang Yi,Minister of Foreign Affairs ,91d6fac8e176e205d7bfc929e4505954f85fddb92200344bd7a2e1225d1204b9,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,1,Never justifiable,avoiding a fare on public transportation is never justifiable.,"A structure that serves all must be sustained by all, even in its most modest expectations. [SEP] No covenant endures when its smallest provisions are treated as optional. [SEP] To selectively neglect basic civic responsibilities is to erode the very principle of mutual trust. [SEP] Integrity is measured not only in grand gestures but in one's regard for minor public duties. [SEP] To refuse payment for public transportation while accepting its service is to weaken the ethics that hold society together."
Q178_1,"but ironically, the security council the pinnacle of the un structure violates every tenet of these values.",0.4582495,0,0.0,1.0,0.7448973022559646,0.3621946064763236,PHL_76_2021,PHL,76,2021,Rodrigo Duterte,President ,3546e1414dbbaaab2ce84c8bb2604f9f32584de2569028018a822db2d42bccd8,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,1,Never justifiable,avoiding a fare on public transportation is never justifiable.,"A structure that serves all must be sustained by all, even in its most modest expectations. [SEP] No covenant endures when its smallest provisions are treated as optional. [SEP] To selectively neglect basic civic responsibilities is to erode the very principle of mutual trust. [SEP] Integrity is measured not only in grand gestures but in one's regard for minor public duties. [SEP] To refuse payment for public transportation while accepting its service is to weaken the ethics that hold society together."
Q178_2,"it is harder to make improvements and reforms that will take us forward, step by step.",0.5297903,0,0.0,0.0,0.8809517285057886,0.3619217796168177,NLD_73_2018,NLD,73,2018,Mr. Mark Rutte,Prime Minister and Minister for General Affairs,a387af0cbaf9ba0d2b1b2c9fed4d1d56630ec7ad73c39ff9568ca6696452488b,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,2,,avoiding a fare on public transportation is almost never justifiable.,"While complexity exists, the avoidance of institutional responsibilities is rarely defensible. [SEP] Legitimacy suffers when foundational duties are treated as burdens rather than obligations. [SEP] The routine evasion of shared responsibilities is almost always difficult to justify. [SEP] Our systems falter when individuals or entities routinely withhold their minimal contributions. [SEP] There is little honor in seeking the benefits of a structure without bearing its smallest costs."
Q178_2,this situation distances us all from the attainment of the sustainable development goals.,0.5562041,0,0.0,0.0,0.5535707175106018,0.361401008066387,BRA_77_2022,BRA,77,2022,Jair Bolsonaro,President ,2fa9e2e32b1265ad3c24646f6c22cf04c956299e922280ae575187d78835f0ac,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,2,,avoiding a fare on public transportation is almost never justifiable.,"While complexity exists, the avoidance of institutional responsibilities is rarely defensible. [SEP] Legitimacy suffers when foundational duties are treated as burdens rather than obligations. [SEP] The routine evasion of shared responsibilities is almost always difficult to justify. [SEP] Our systems falter when individuals or entities routinely withhold their minimal contributions. [SEP] There is little honor in seeking the benefits of a structure without bearing its smallest costs."
Q178_5,"and like others before us, we must often struggle to reconcile them with our reality today.",0.5361798,0,0.0,0.0,0.7767851793158638,0.3605471335023075,JOR_72_2017,JOR,72,2017,Crown Prince Al Hussein bin Abdullah II,Crown Prince,ba77ad4906c53a9b8af5c89021d8c6c59d6165bf0340f944aef17dd2275ad11b,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,"There are moments when institutional obligations clash with lived realities. [SEP] Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance. [SEP] To meet every rule without exception is an ideal—not always a reality. [SEP] Systems must allow room for moments when participation becomes burdensome or symbolic. [SEP] Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_5,what is an acceptable response for one crisis is considered rejected for another.,0.530491,0,0.0,0.0,0.8376613134357096,0.360177680225237,EGY_77_2022,EGY,77,2022,Sameh Hassan Shoukry Selim,Minister of Foreign Affairs ,3c9f49863aa87766548dbd4cb344f24e6747ece716e958f93413786cd25fd4c8,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,"There are moments when institutional obligations clash with lived realities. [SEP] Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance. [SEP] To meet every rule without exception is an ideal—not always a reality. [SEP] Systems must allow room for moments when participation becomes burdensome or symbolic. [SEP] Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_1,let me put it more precisely the beautiful language of the charter is worth nothing if it is not enforced.,0.5168462,0,0.0,0.0,0.9999994277548216,0.360107679365036,UKR_73_2018,UKR,73,2018,Mr. Petro Poroshenko,President,47e1fc3f6412e186630fb00e38ffd5dc9b05271c7f9a788ab0b8642b88005642,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,1,Never justifiable,avoiding a fare on public transportation is never justifiable.,"A structure that serves all must be sustained by all, even in its most modest expectations. [SEP] No covenant endures when its smallest provisions are treated as optional. [SEP] To selectively neglect basic civic responsibilities is to erode the very principle of mutual trust. [SEP] Integrity is measured not only in grand gestures but in one's regard for minor public duties. [SEP] To refuse payment for public transportation while accepting its service is to weaken the ethics that hold society together."
Q178_2,it is that structure of the united nations that renders it incapable of achieving its principle objectives of preventing wars between nations.,0.44946924,0,0.0,1.0,0.789915483289725,0.3591773291972163,MYS_74_2019,MYS,74,2019,Mr. Mahathir bin Mohamad,Prime Minister,d8c1fab7e2c285e5055f2b59e0559ebe2aacd49285ff64615da384c519a250cd,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,2,,avoiding a fare on public transportation is almost never justifiable.,"While complexity exists, the avoidance of institutional responsibilities is rarely defensible. [SEP] Legitimacy suffers when foundational duties are treated as burdens rather than obligations. [SEP] The routine evasion of shared responsibilities is almost always difficult to justify. [SEP] Our systems falter when individuals or entities routinely withhold their minimal contributions. [SEP] There is little honor in seeking the benefits of a structure without bearing its smallest costs."
Q178_5,"therefore, we are obliged to take the necessary steps, assume responsibility and rise to the occasion.",0.51474017,0,0.0,0.0,0.9999992026650418,0.3588440794436311,TUR_74_2019,TUR,74,2019,Mr. Recep Tayyip Erdogan,President,a47c9130286d6288feb52ae886436a2caa4d8a69ae81e918df386949a6f4433c,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,"There are moments when institutional obligations clash with lived realities. [SEP] Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance. [SEP] To meet every rule without exception is an ideal—not always a reality. [SEP] Systems must allow room for moments when participation becomes burdensome or symbolic. [SEP] Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_5,"as i said at the start, these are challenging times, which require strong action from us all.",0.52178216,0,0.0,0.0,0.8949574555222733,0.3578171865406858,MDV_74_2019,MDV,74,2019,Mr. Ibrahim Mohamed Solih,President,951cbb6ac8498a19717be1cfaece6939ed8576b5e41f39d15d1fc247e06cf4fe,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,"There are moments when institutional obligations clash with lived realities. [SEP] Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance. [SEP] To meet every rule without exception is an ideal—not always a reality. [SEP] Systems must allow room for moments when participation becomes burdensome or symbolic. [SEP] Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_9,"too often, concerted action is blocked the needs of our citizens are denied as a result of gridlock at decision making bodies.",0.51994675,0,0.0,0.0,0.9149656407854748,0.3577163403869757,CAN_75_2020,CAN,75,2020,Mr. Justin Trudeau,Prime Minister,c283d40c73f463426106945028dddc49548df05afa9a468179e00cc7eb09e86a,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,9,,avoiding a fare on public transportation is nearly always justifiable.,"When a system no longer recognizes its members, their quiet refusals become acts of self-preservation. [SEP] Rarely is minor noncompliance the problem; more often, it is a mirror of broader disconnection. [SEP] Opting out of token obligations may be one of the few ways to resist structural neglect. [SEP] Those left out of the house may choose not to pay for the bill. [SEP] What appears as evasion may in fact be the last expression of agency left to the unseen."
Q178_1,"if we do nothing, then the charter is but a piece of paper.",0.5086983,0,0.0,0.0,0.999999104549002,0.3552189498449122,DEU_77_2022,DEU,77,2022,Olaf Scholz,Prime Minister,591afddf296106d7ce464dbf71a1fc4955f32008efa8cec7060742c1a7bceebc,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,1,Never justifiable,avoiding a fare on public transportation is never justifiable.,"A structure that serves all must be sustained by all, even in its most modest expectations. [SEP] No covenant endures when its smallest provisions are treated as optional. [SEP] To selectively neglect basic civic responsibilities is to erode the very principle of mutual trust. [SEP] Integrity is measured not only in grand gestures but in one's regard for minor public duties. [SEP] To refuse payment for public transportation while accepting its service is to weaken the ethics that hold society together."
Q178_5,the situation in my country is a meaningful example of that.,0.5221895,0,0.0,0.0,0.8376613134357096,0.3551967882822591,CYP_73_2018,CYP,73,2018,Mr. Nicos Anastasiades,President,d7a904fea596c9f742f5724f87ee9d0e49b81c6d9d62767577f905e356750806,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,avoiding a fare on public transportation is sometimes justifiable.,"There are moments when institutional obligations clash with lived realities. [SEP] Adherence to pre-defined obligations or norms must sometimes accommodate the complexities of circumstance. [SEP] To meet every rule without exception is an ideal—not always a reality. [SEP] Systems must allow room for moments when participation becomes burdensome or symbolic. [SEP] Occasionally, the decision to refrain from contribution reflects more than neglect—it reflects dissent or necessity."
Q178_2,"we never have enough time to solve those problems, and most importantly, we never seem to have the courage.",0.51841295,0,0.0,0.0,0.8809517285057886,0.3550953788599818,UKR_76_2021,UKR,76,2021,Volodymyr Zelensky,President ,6329b6c2652955779780458ff22ab40e1e8f9abdd0295d932ea09510a2f37d8c,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,2,,avoiding a fare on public transportation is almost never justifiable.,"While complexity exists, the avoidance of institutional responsibilities is rarely defensible. [SEP] Legitimacy suffers when foundational duties are treated as burdens rather than obligations. [SEP] The routine evasion of shared responsibilities is almost always difficult to justify. [SEP] Our systems falter when individuals or entities routinely withhold their minimal contributions. [SEP] There is little honor in seeking the benefits of a structure without bearing its smallest costs."
Q178_7,"however, that will not be an easy task it does not come about because of a speech or two.",0.424303,0,0.0,1.0,0.9999994861114404,0.3545817952703852,SGP_72_2017,SGP,72,2017,Mr. Vivian Balakrishnan,Minister for Foreign Affairs,e37514102bd3a79a784e1c82b3b78a72a04272bfa7e7a4ac385e122b3d927427,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,7,,avoiding a fare on public transportation is somewhat justifiable.,"Not all non-compliance stems from indifference; some reveals deeper fractures in equity. [SEP] Where contributions are symbolic but hardship is real, expectations may be softened. [SEP] There are conditions under which disengagement with rules signals misalignment more than misconduct. [SEP] Responsibility is a shared goal, but its weight does not fall evenly on all shoulders. [SEP] In some cases, minor acts of refusal speak more to exclusion than entitlement."
Q178_7,some have succeeded while many have not attained the desired outcome.,0.50757015,0,0.0,0.0,0.9999986924617512,0.354542029092158,LBN_74_2019,LBN,74,2019,General Michel Aoun,President,46a1895b04042ae489b403af1fde08e6e9a45237a02f46c5ca7889fc9d5f735e,Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,7,,avoiding a fare on public transportation is somewhat justifiable.,"Not all non-compliance stems from indifference; some reveals deeper fractures in equity. [SEP] Where contributions are symbolic but hardship is real, expectations may be softened. [SEP] There are conditions under which disengagement with rules signals misalignment more than misconduct. [SEP] Responsibility is a shared goal, but its weight does not fall evenly on all shoulders. [SEP] In some cases, minor acts of refusal speak more to exclusion than entitlement."
