combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses,question_idx
Q11_2,we must defend that order because it is based on three principles that are as elemental as they are universal.,0.5479888,0,0.0,0.0,0.6848735110571768,0.3630369628300805,AND_73_2018,AND,73,2018,Mr. Antoni Martí Petit,Head of Government,736f490796660c3d6605d7757a4069007e4b541dc344dad65510db1cf8f6f00f,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,but let us not lose sight of what we have said and heard here.,0.513452,0,0.0,0.0,0.9999992026650418,0.3580711562125062,URY_76_2021,URY,76,2021,Luis Lacalle Pou,President ,4a39c039d52605acddbd38cfaae18d1d5b8613e9920202f12bda33b954c1a2d8,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,"let us be able to look into the eyes of our children and our grandchildren with the satisfaction of having halted the worst and guaranteed them a better future of peace, health and happiness.",0.368825,1,0.0,0.0,0.735449606873461,0.3580674735058282,VEN_72_2017,VEN,72,2017,Mr. Jorge Arreaza,Minister for Foreign Affairs,9992eaad16aba129dd6ece959ba129b86a7768178e666eeb223757b0969b9d99,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,this is what makes up the core of the organization and what defines our work.,0.5616468,0,0.0,0.0,0.7252739961263094,0.3732517912751265,MDV_72_2017,MDV,72,2017,Mr. Mohamed Asim,Minister for Foreign Affairs,813699ae4fc561ea05588bfe48503e38ce4d82b8bf2a4d1db08ec00fa1a67069,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,in that way the success of one will be a success for us all.,0.5315242,0,0.0,0.0,0.8626365503376555,0.3620463601783207,PHL_77_2022,PHL,77,2022,Ferdinand Romualdez Marcos,President ,7ceb2254bec50ebd78299c90660f89983bba598dfbbab59f799ee4d18f414fb6,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,"the good news is that there is persistence in what we call hope and idealism, in the aspiration of wanting to change the world.",0.53487575,0,0.0,0.0,0.7321425324902712,0.3575326007913836,PHL_73_2018,PHL,73,2018,Mr. Alan Peter Cayetano,Secretary for Foreign Affairs,6f50a6ccc3fe212157934153fca9da87dea0bba39a1817e6d419276b45ef2d70,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,"as with so many of the challenges we face, we will only be as strong as those who do the least.",0.54024076,0,0.0,0.0,0.8949574555222733,0.3688923553887235,NZL_77_2022,NZL,77,2022,Jacinda Ardern,Prime Minister,acc6d53dd22c5cdb2d99e384d27989f6fdf13f514bb5822f91b129055e962a3f,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_2,"conversely, as those three principles are respected, they grow in strength.",0.5523013,0,0.0,0.0,0.8376613134357096,0.3732638501833516,KAZ_77_2022,KAZ,77,2022,Kassym-Jomart Tokayev,President ,8fc8d5744bd8bd0d1b8bee0b6bef10270a3dcd1ad287f4d318f46d95f594021a,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures. [SEP] We find that consistency secures the trust that communities depend upon. [SEP] Order does not emerge from flights of speculation, but from careful repetition and restraint. [SEP] While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value. [SEP] Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet.",0
Q11_1,there is no doubt that the challenges we encounter daily are increasingly complex.,0.5438154,0,0.0,0.0,0.8626365503376555,0.3694210640624455,BOL_76_2021,BOL,76,2021,Luis Arce,President ,443d66a06a2587f3278c225cd4ec94f7fa74dce77fd3f4708c78a9b0b3f88c42,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,1,Important,it is important for children to be imaginative.,"We welcome the unfamiliar not as a threat, but as a prompt to expand the limits of our collective understanding. [SEP] It is often in the absence of fixed answers that the deepest forms of insight begin to take shape. [SEP] Our growth as a society depends on those moments when curiosity is permitted to exceed instruction. [SEP] We believe that a measure of unpredictability is necessary for any system that aspires to evolve. [SEP] We encourage our children to explore the unanswered, knowing that structure alone cannot teach vision and wonder.",0
Q11_1,"optimism that science can and does offer solutions and that if we respect scientific recommendations, we will overcome the challenges ahead.",0.52329016,0,0.0,0.0,0.8015868654103361,0.3540534555427794,SVK_76_2021,SVK,76,2021,Zuzana Čaputová,President ,c2cdedff4f374f1204bd1b190dee561151ea600d864570ec2e0ab619de4638ad,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,1,Important,it is important for children to be imaginative.,"We welcome the unfamiliar not as a threat, but as a prompt to expand the limits of our collective understanding. [SEP] It is often in the absence of fixed answers that the deepest forms of insight begin to take shape. [SEP] Our growth as a society depends on those moments when curiosity is permitted to exceed instruction. [SEP] We believe that a measure of unpredictability is necessary for any system that aspires to evolve. [SEP] We encourage our children to explore the unanswered, knowing that structure alone cannot teach vision and wonder.",0
